ID,Description,GeneRatio,BgRatio,p-value,adj. p-value
WP2865,IL1 and megakaryocytes in obesity,10/1363,19/6992,0.00126,0.027
WP5130,Th17 cell differentiation pathway,18/1363,46/6992,0.00158,0.0327
WP4919,Neuroinflammation,7/1363,11/6992,0.00166,0.0334
WP5477,Molecular pathway for oxidative stress,17/1363,43/6992,0.00185,0.0361
WP1528,Physiological and pathological hypertrophy of t...,11/1363,23/6992,0.00198,0.0368
WP3944,Serotonin and anxiety related events,8/1363,14/6992,0.00199,0.0368
WP545,Complement activation,9/1363,17/6992,0.00211,0.038
WP5329,Cholesterol biosynthesis pathway in hepatocytes,16/1363,40/6992,0.00217,0.038
WP3888,VEGFA VEGFR2 signaling,103/1363,410/6992,0.00236,0.04
WP3858,Toll like receptor signaling related to MyD88,13/1363,30/6992,0.0024,0.04
WP4718,Cholesterol metabolism with Bloch and Kandutsch...,17/1363,44/6992,0.00248,0.0402
WP3941,Oxidative damage response,15/1363,37/6992,0.00253,0.0402
WP4329,miRNA role in immune response in sepsis,12/1363,27/6992,0.00271,0.0421
