GeneID,meanExpr,log2FC,log2FC SE,p-value,adj. p-value
LOC105369329,28.4991777667838,1.75350984583576,0.695209590809547,0.000381267169649329,0.0270864403449176
DGKH,361.689553146458,-0.688796730818938,0.247791766290618,0.000381929210415223,0.0270864403449176
MDGA2,258.0862743472,-0.556090257195816,0.192499278521246,0.000382295088595057,0.0270864403449176
NIPA1,1544.22722391786,-0.898236997735685,0.337282157880217,0.000386545852870973,0.0270864403449176
ITIH5,266.642938436379,-1.00030792157231,0.380405396562287,0.000386817977298697,0.0270864403449176
SLCO4A1,187.067907128596,1.83983210512863,0.737941779561408,0.00038719265897184,0.0270864403449176
PRPH2,272.285990744286,-1.3980886547188,0.551087169923907,0.000388144319534621,0.0270864403449176
ST8SIA5,970.92045630096,-1.09870102684517,0.424388874429854,0.000389489387101758,0.0270864403449176
HCLS1,140.21537470669,1.51900272297689,0.600334207805346,0.000389996349583028,0.0270864403449176
PTPN3,485.191240800726,-1.52524717477137,0.608210066209673,0.000396635846840121,0.0272616767588116
PDE7B,445.907634795476,-0.8780132489282,0.32948873732655,0.000398878374198131,0.0272616767588116
TMEM121B,489.418542240515,-0.938266869822078,0.355407540136963,0.000399437644340032,0.0272616767588116
LYNX1,4144.60025769482,-0.591003597499842,0.208221326657803,0.000399572177778632,0.0272616767588116
GPR78,21.9001212677464,-2.1967835939043,0.89971097420042,0.000400530041707975,0.0272616767588116
TMEM132D,713.580864334667,-1.26644398052346,0.49769857440773,0.000402852361655271,0.0273105011391478
F2R,109.636264534751,1.64567045225411,0.661142062567632,0.000408633887532326,0.0275925167867066
PNP,185.172815805503,1.37076794667898,0.543179609449006,0.000410757004860617,0.0276262497814555
GNA14,151.441656320986,1.43841987233736,0.576432967628322,0.00041931421402208,0.0280006724753796
RNA5-8SN3,606.468666321906,3.62366466535452,1.59258473136398,0.000419615155219899,0.0280006724753796
RASSF8,630.952321027371,0.793904456523721,0.295840398426713,0.000423182453496313,0.0280231670692841
CYB5R3,2531.45469023296,0.798330626353332,0.299543945940823,0.000423246000047368,0.0280231670692841
CORO2B,1956.45530873282,-0.639559513448705,0.231781972082845,0.000433096090229672,0.0285350120538556
MAPK11,618.322291282115,-0.576752557199052,0.204417895367703,0.000434501402310112,0.0285350120538556
PRKCD,518.317597064448,-1.04367553359714,0.405760631701579,0.00043600747143879,0.0285350120538556
IL1R1,108.303150735484,1.42564044920066,0.575156368948226,0.000444662320090005,0.0289306886795969
HECW2,723.291477613506,-1.05761650237909,0.409703579195564,0.000445453716152702,0.0289306886795969
NFKB2,97.867037181921,2.00789761644029,0.841120661343603,0.000457190761696495,0.0294997557170353
UNC13A,4962.00355691123,-1.16192830920196,0.462855210725455,0.000457683092930026,0.0294997557170353
RNA5-8SN1,520.415430740299,3.65302958203301,1.64408250630394,0.000461267452366587,0.029618592337622
NONO,1991.72652510757,0.367497444543048,0.119868772382788,0.000468464789900012,0.0299676573869873
RHBDF2,90.2261858518376,1.8821567825336,0.779398753119306,0.000470530528334489,0.0299870691765531
LAIR1,89.6301981029007,1.9336866523673,0.804299522999732,0.000478656434248529,0.0303911115118394
RNA5-8SN2,518.541318135524,3.63751481893263,1.65318916968601,0.000482593427781446,0.0304472076250508
VPS36,727.630064938272,-0.932497135548669,0.363270523614658,0.000483118597717661,0.0304472076250508
NWD2,648.976398115881,-1.35264382607454,0.552290216782338,0.00049012636770232,0.0307748718554342
FOXJ1,61.7301883716722,2.43692559839433,1.05469634130073,0.000493357335793016,0.030863854506816
FLNA,1101.69356109946,1.33280349671955,0.541792874852296,0.000496031265927674,0.0308676527582422
RNA5-8SN4,518.458946873231,3.60963907064508,1.649106459495,0.000497046124574422,0.0308676527582422
ABI3,45.3788913581231,1.91773864087252,0.807031008715677,0.000500568665409567,0.0309733687658516
HLA-DPA1,286.344203713894,1.26316536384978,0.510578242154346,0.000504008073618448,0.031031964878836
HSPA1A,16970.6417094242,3.35600679170012,1.48514889159924,0.000505163038989043,0.031031964878836
LOC101929473,48.9167304620839,-1.41092186571238,0.575412564058751,0.000512053705634963,0.0313078169746053
RNA5-8SN5,518.261696168242,3.61731114421906,1.66693759749315,0.000513333388335384,0.0313078169746053
LOC107987206,669.392861608836,2.30916603819857,0.993290123692929,0.000519514585042392,0.0314921464730145
RN7SL1,669.294165880765,2.30884000004541,0.993342345937878,0.00052005719081553,0.0314921464730145
