,GSM3673216,GSM3673217,GSM3673218,GSM3673219,GSM3673220,GSM3673221,GSM3673222,GSM3673223
LOC112268221,3.9250396379488,3.40225061373854,3.61898757441794,2.52694396631844,3.77083158176266,4.35851806731345,3.19360770537921,3.38884940126985
FBXO2,10.8252122135542,11.9246094167202,11.3059208591118,11.0460353509207,11.3662101849949,11.024468144052,11.3187352504436,11.2498431729247
FBXO44,11.1210926488493,10.9083103719806,11.4034712571759,11.3758227367652,10.8546335055334,10.7846538640978,10.4691949242261,10.7658687596762
FBXO6,6.51360447497957,6.68800032432915,6.66830643253915,6.87903952878401,7.33677703984018,7.02192733586958,6.68456624406694,6.99243458689068
MAD2L2,7.60864263942761,7.78900214175205,7.75115002846029,7.56344842525887,8.60025017827061,7.80275453602645,7.80566798788315,7.737370439698
DRAXIN,7.94229358903375,6.18574917278349,7.18108608774197,7.23888329920528,6.52481863482521,6.62305709945905,6.52351046412793,5.5482768658874
AGTRAP,5.39492569057973,7.0249107009727,5.44430121102898,4.80700137323108,8.30947908139938,6.93456965712374,6.82943449187236,6.79115832422408
C1orf167,6.36466287297476,4.72937782605222,5.79948927946792,5.76001763426434,5.41768644092667,5.74422121830271,6.24219846958105,5.57241627917797
MTHFR,8.79157687461763,7.98343249319327,8.32414124280844,8.41276453546428,8.08592657929394,8.33338958239676,8.86681175545913,7.88923125714655
CLCN6,10.6397889842969,10.0697455459762,10.551084997427,10.4681678187248,10.073494971402,10.3060604128831,10.38671132209,10.5242975204327
NPPA-AS1,7.50568775549828,6.33576901849509,7.53180837722948,7.57550815925758,6.85941325726492,6.87324683634071,7.30876270920759,7.39564513245575
NPPA,6.57139443478978,5.29609667612932,5.70660749007983,7.36929706263188,4.71699352655062,3.77887581356982,4.9485783674235,5.25208232410182
KIAA2013,8.79400631328211,9.02101543484462,8.54477290719752,8.81237775701288,8.81402435045888,8.6429862308685,8.5277168316678,8.76049399412656
PLOD1,8.71416036412246,9.43091903947966,8.74779790248491,8.6073997453046,11.5133108821367,9.5247039961186,9.21557157656262,8.65988224265327
MFN2,11.7557662162365,11.4801887981524,11.6657231172787,11.6867389375638,11.3592801033828,11.2791363235102,11.4865503793319,11.5694993007306
MIIP,6.9568466084056,7.76803645036266,7.35947167091209,7.0786501767695,8.27454395357736,7.37888013474772,6.79455825330393,7.33344039320744
TNFRSF1B,6.46564568796359,7.12723998393232,6.42763824975547,5.4288639733887,7.23141592517886,9.35937857497219,6.54465347843406,6.33532153750555
VPS13D,11.3799010743884,10.2898026250301,10.9086091782474,11.0159297573583,10.0392165401201,10.482397537921,10.8812103459225,10.8103170675737
DHRS3,6.84882279522053,8.73801857934091,7.36707876004276,6.63583514469464,9.63097965292254,8.62759499529481,9.02186028273531,8.24133561428415
LRRC38,4.24215074011781,0,3.13973881392361,5.10200574693708,3.77083158176266,3.24553084030645,4.50656126841671,3.01900662427627
PDPN,5.42030848635572,7.29784754809299,5.73039453321246,6.16306616549791,7.94491972063332,7.78621466007706,6.07788039166819,8.02224346099684
PRDM2,11.4338645255856,9.99953041127508,10.8398853618023,11.2422472199897,9.39385434920533,10.0449928882028,9.89232089757078,10.0929948879782
KAZN,9.94992084648761,10.0328696431401,9.63393804598286,9.99265533075913,9.70062451043648,9.628865351184,10.0014822273218,9.47013120186436
LOC105376759,4.50196485899139,2.06724215820908,4.05548117213059,5.25980145070649,5.28355408910873,3.77887581356982,2.96177143017883,4.83969781633997
TMEM51-AS1,6.9393950356325,7.91832072716991,6.36823025388876,6.58901292836344,7.45590526009401,7.11316441295389,7.58871877638937,6.30682758008552
TMEM51,5.95978367760616,7.00712726271397,5.88675125412396,5.22959289836615,7.0085994081894,6.42361703664534,6.04857792740225,5.93090294630571
